clim,ssp,Window_U_value,Roof_Rc_value,Floor_Rc_value,Façade_Rc_value,ifn,heat,cool,Energy_Consumption,label,co2,crt,uwin,rr,rf,rwall,inf,cost
0.0,0.0,0.0,0.0,4.0,2.0,1.0,98.75490603366693,25.137922810041005,135.20489410822637,5.0,38.176907925684255,1.54,0.0,0.0,4.0,2.0,1.0,9282.1038
0.0,0.0,0.0,0.0,4.0,2.0,2.0,85.84697836987733,27.98118112552564,126.4196910018895,5.0,34.308528791729486,1.54,0.0,0.0,4.0,2.0,2.0,9582.1038
0.0,0.0,0.0,0.0,4.0,2.0,3.0,73.23076371171234,31.371045850443743,118.71878019485578,5.0,30.639361052613403,1.54,0.0,0.0,4.0,2.0,3.0,9982.1038
0.0,0.0,0.0,0.0,4.0,3.0,0.0,185.99411891223443,14.791247261889698,207.4414274419745,7.0,65.94479867908552,1.54,0.0,0.0,4.0,3.0,0.0,7001.5502
0.0,0.0,0.0,0.0,4.0,3.0,1.0,95.34029634858608,25.306816519656497,132.03518030208798,5.0,37.0468481816164,1.54,0.0,0.0,4.0,3.0,1.0,8401.5502
0.0,0.0,0.0,0.0,4.0,3.0,2.0,82.47571541736853,28.25460265701535,123.4448892700408,5.0,33.212335528139114,1.54,0.0,0.0,4.0,3.0,2.0,8701.5502
0.0,0.0,0.0,0.0,4.0,3.0,3.0,69.91871154114527,31.77238919079683,115.98867586780068,5.0,29.58670914590521,1.54,0.0,0.0,4.0,3.0,3.0,9101.5502
0.0,0.0,0.0,0.0,4.0,4.0,0.0,184.5842963913431,14.74321006022666,205.96195097867167,7.0,65.45666821407814,1.54,0.0,0.0,4.0,4.0,0.0,8080.806199999999
0.0,0.0,0.0,0.0,4.0,4.0,1.0,93.99218149098412,25.37948400585642,130.79243329947593,5.0,36.60178728000633,1.54,0.0,0.0,4.0,4.0,1.0,9480.8062
0.0,0.0,0.0,0.0,4.0,4.0,2.0,81.15474570100524,28.37324654987836,122.29595319832885,5.0,32.784917656969526,1.54,0.0,0.0,4.0,4.0,2.0,9780.8062
0.0,0.0,0.0,0.0,4.0,4.0,3.0,68.61706246738825,31.93941952551541,114.9292207793856,5.0,29.17471501208133,1.54,0.0,0.0,4.0,4.0,3.0,10180.8062
0.0,0.0,0.0,1.0,0.0,0.0,0.0,227.18543725707613,2.143576929949664,230.2936238055032,7.0,77.63532324558668,1.54,0.0,1.0,0.0,0.0,0.0,4424.847
0.0,0.0,0.0,1.0,0.0,0.0,1.0,132.53566207111948,2.1078052695682934,135.5919797119935,5.0,45.44785346851162,1.54,0.0,1.0,0.0,0.0,1.0,5824.847
0.0,0.0,0.0,1.0,0.0,0.0,2.0,118.7486872805121,2.2021846124615148,121.9418549685813,5.0,40.77755345945457,1.54,0.0,1.0,0.0,0.0,2.0,6124.847
0.0,0.0,0.0,1.0,0.0,0.0,3.0,105.1337836917955,2.3741268838225724,108.57626767333824,5.0,36.17995167495,1.54,0.0,1.0,0.0,0.0,3.0,6524.847
0.0,0.0,0.0,1.0,0.0,1.0,0.0,189.864141832298,0.9582554766513488,191.25361227344243,7.0,64.72916897520851,1.54,0.0,1.0,0.0,1.0,0.0,5161.8726
